                                                       
{'loss': 7.3579, 'grad_norm': 1.4234747886657715, 'learning_rate': 0.0001455901203190861, 'epoch': 0.0}
{'loss': 6.8035, 'grad_norm': 2.301316261291504, 'learning_rate': 0.0003208972597267282, 'epoch': 0.01}
{'loss': 6.7937, 'grad_norm': 2.483880043029785, 'learning_rate': 0.0003234183222664723, 'epoch': 0.01}
{'loss': 6.6763, 'grad_norm': 2.300360918045044, 'learning_rate': 0.0003258320724399599, 'epoch': 0.01}
{'loss': 6.8136, 'grad_norm': 2.4030232429504395, 'learning_rate': 0.0003281472742504317, 'epoch': 0.01}
{'loss': 6.7515, 'grad_norm': 2.6131222248077393, 'learning_rate': 0.0003303716600788953, 'epoch': 0.02}
{'loss': 6.7517, 'grad_norm': 2.317884922027588, 'learning_rate': 0.00033251208650098826, 'epoch': 0.02}
{'loss': 6.7387, 'grad_norm': 2.3972530364990234, 'learning_rate': 0.00033457466175279826, 'epoch': 0.02}
{'loss': 6.7013, 'grad_norm': 2.231935977935791, 'learning_rate': 0.0003365648508191014, 'epoch': 0.02}
{'loss': 6.6212, 'grad_norm': 2.3179211616516113, 'learning_rate': 0.0003384875626988062, 'epoch': 0.02}
{'loss': 6.7122, 'grad_norm': 2.195704221725464, 'learning_rate': 0.00034034722335617986, 'epoch': 0.02}
{'loss': 6.6194, 'grad_norm': 2.7529685497283936, 'learning_rate': 0.00034214783708615246, 'epoch': 0.02}
{'loss': 6.6567, 'grad_norm': 2.0380444526672363, 'learning_rate': 0.0003438930384339489, 'epoch': 0.02}
{'loss': 6.7613, 'grad_norm': 2.6720993518829346, 'learning_rate': 0.0003455861363617779, 'epoch': 0.02}
{'loss': 6.6988, 'grad_norm': 2.4383418560028076, 'learning_rate': 0.00034723015201164456, 'epoch': 0.02}
{'loss': 6.6821, 'grad_norm': 2.1675260066986084, 'learning_rate': 0.00034882785114718074, 'epoch': 0.02}
{'loss': 6.7387, 'grad_norm': 2.1950643062591553, 'learning_rate': 0.0003503817721495932, 'epoch': 0.02}
{'loss': 6.6784, 'grad_norm': 2.314281702041626, 'learning_rate': 0.00035189425027939395, 'epoch': 0.02}
{'loss': 6.6545, 'grad_norm': 2.0028276443481445, 'learning_rate': 0.0003533674387861161, 'epoch': 0.02}
{'loss': 6.6772, 'grad_norm': 2.382387399673462, 'learning_rate': 0.00035480332734499876, 'epoch': 0.02}
{'loss': 6.6468, 'grad_norm': 2.255505323410034, 'learning_rate': 0.00035620375821679613, 'epoch': 0.02}
{'loss': 6.6777, 'grad_norm': 2.207097291946411, 'learning_rate': 0.0003575704404600191, 'epoch': 0.02}
{'loss': 6.6394, 'grad_norm': 2.232471227645874, 'learning_rate': 0.0003589049624706561, 'epoch': 0.02}
{'loss': 6.6847, 'grad_norm': 2.3118343353271484, 'learning_rate': 0.0003602088030801414, 'epoch': 0.03}
{'loss': 6.692, 'grad_norm': 2.23223614692688, 'learning_rate': 0.000361483341406027, 'epoch': 0.03}
{'loss': 6.6792, 'grad_norm': 2.385416030883789, 'learning_rate': 0.0003627298656198856, 'epoch': 0.03}
{'loss': 6.625, 'grad_norm': 2.319098949432373, 'learning_rate': 0.0003639495807721976, 'epoch': 0.03}
{'loss': 6.6587, 'grad_norm': 2.2060906887054443, 'learning_rate': 0.0003651436157933732, 'epoch': 0.03}
{'loss': 6.7111, 'grad_norm': 2.283892869949341, 'learning_rate': 0.0003663130297728574, 'epoch': 0.03}
{'loss': 6.6052, 'grad_norm': 2.5079538822174072, 'learning_rate': 0.000367458817603845, 'epoch': 0.03}
{'loss': 6.646, 'grad_norm': 2.0373799800872803, 'learning_rate': 0.00036858191506899864, 'epoch': 0.03}
{'loss': 6.7542, 'grad_norm': 2.218064546585083, 'learning_rate': 0.0003696832034323086, 'epoch': 0.03}
{'loss': 6.6743, 'grad_norm': 1.9739609956741333, 'learning_rate': 0.00037076351359354993, 'epoch': 0.03}
{'loss': 6.6727, 'grad_norm': 2.0568885803222656, 'learning_rate': 0.00037182362985440157, 'epoch': 0.03}
{'loss': 6.6557, 'grad_norm': 2.2136430740356445, 'learning_rate': 0.00037286429333898764, 'epoch': 0.03}
{'loss': 6.5888, 'grad_norm': 2.0006673336029053, 'learning_rate': 0.00037388620510621156, 'epoch': 0.03}
{'loss': 6.7506, 'grad_norm': 2.157832622528076, 'learning_rate': 0.0003748900289866147, 'epoch': 0.03}
{'loss': 6.6639, 'grad_norm': 2.478630542755127, 'learning_rate': 0.0003758763941725147, 'epoch': 0.03}
{'loss': 6.6114, 'grad_norm': 1.993340253829956, 'learning_rate': 0.00037684589758672934, 'epoch': 0.03}
{'loss': 6.6705, 'grad_norm': 2.116791248321533, 'learning_rate': 0.00037779910605221953, 'epoch': 0.03}
{'loss': 6.66, 'grad_norm': 2.0756213665008545, 'learning_rate': 0.00037873655828239635, 'epoch': 0.04}
{'loss': 6.5789, 'grad_norm': 2.2115225791931152, 'learning_rate': 0.00037965876670959317, 'epoch': 0.04}
{'loss': 6.687, 'grad_norm': 2.0823655128479004, 'learning_rate': 0.00038056621916723985, 'epoch': 0.04}
{'loss': 6.7062, 'grad_norm': 2.2802462577819824, 'learning_rate': 0.00038145938043956576, 'epoch': 0.04}
{'loss': 6.6399, 'grad_norm': 2.191319465637207, 'learning_rate': 0.0003823386936911549, 'epoch': 0.04}
{'loss': 6.6653, 'grad_norm': 2.175666332244873, 'learning_rate': 0.00038320458178736215, 'epoch': 0.04}
{'loss': 6.6047, 'grad_norm': 2.523998975753784, 'learning_rate': 0.0003840574485154384, 'epoch': 0.04}
{'loss': 6.6492, 'grad_norm': 2.1385180950164795, 'learning_rate': 0.0003848976797151911, 'epoch': 0.04}
{'loss': 6.607, 'grad_norm': 2.153289794921875, 'learning_rate': 0.00038572564432710633, 'epoch': 0.04}
{'loss': 6.704, 'grad_norm': 2.096780300140381, 'learning_rate': 0.00038654169536505786, 'epoch': 0.04}
{'loss': 6.5714, 'grad_norm': 2.1056313514709473, 'learning_rate': 0.00038734617082002284, 'epoch': 0.04}
{'loss': 6.6646, 'grad_norm': 2.092041492462158, 'learning_rate': 0.00038813939450059405, 'epoch': 0.04}
{'loss': 6.6831, 'grad_norm': 2.0996739864349365, 'learning_rate': 0.0003889216768155201, 'epoch': 0.04}
{'loss': 6.6046, 'grad_norm': 2.095094919204712, 'learning_rate': 0.0003896933155030065, 'epoch': 0.04}
{'loss': 6.6327, 'grad_norm': 1.9822945594787598, 'learning_rate': 0.0003904545963110658, 'epoch': 0.04}
{'loss': 6.6316, 'grad_norm': 2.3619163036346436, 'learning_rate': 0.00039120579363280725, 'epoch': 0.04}
{'loss': 6.6008, 'grad_norm': 2.0346755981445312, 'learning_rate': 0.00039194717110020043, 'epoch': 0.04}
{'loss': 6.5452, 'grad_norm': 2.0922329425811768, 'learning_rate': 0.00039267898213952936, 'epoch': 0.05}
{'loss': 6.6244, 'grad_norm': 2.1473467350006104, 'learning_rate': 0.00039340147049146223, 'epoch': 0.05}
{'loss': 6.6477, 'grad_norm': 2.3088581562042236, 'learning_rate': 0.000394114870698412, 'epoch': 0.05}
{'loss': 6.6744, 'grad_norm': 2.1105968952178955, 'learning_rate': 0.0003948194085616222, 'epoch': 0.05}
{'loss': 6.6124, 'grad_norm': 2.1505935192108154, 'learning_rate': 0.0003955153015702093, 'epoch': 0.05}
{'loss': 6.483, 'grad_norm': 2.3249282836914062, 'learning_rate': 0.0003962027593041998, 'epoch': 0.05}
{'loss': 6.6348, 'grad_norm': 2.2308082580566406, 'learning_rate': 0.00039688198381343233, 'epoch': 0.05}
{'loss': 6.5829, 'grad_norm': 2.6051745414733887, 'learning_rate': 0.00039755316997403743, 'epoch': 0.05}
{'loss': 6.5853, 'grad_norm': 2.056025505065918, 'learning_rate': 0.0003982165058240693, 'epoch': 0.05}
{'loss': 6.5574, 'grad_norm': 2.250124216079712, 'learning_rate': 0.0003988721728797354, 'epoch': 0.05}
{'loss': 6.508, 'grad_norm': 2.5117239952087402, 'learning_rate': 0.0003995203464335547, 'epoch': 0.05}
{'loss': 6.6293, 'grad_norm': 2.446716785430908, 'learning_rate': 0.0004001611958356693, 'epoch': 0.05}
{'loss': 6.5733, 'grad_norm': 2.4461185932159424, 'learning_rate': 0.0004007948847594403, 'epoch': 0.05}
{'loss': 6.6786, 'grad_norm': 2.4357664585113525, 'learning_rate': 0.00040142157145236764, 'epoch': 0.05}
{'loss': 6.6073, 'grad_norm': 2.419830799102783, 'learning_rate': 0.0004020414089732988, 'epoch': 0.05}
{'loss': 6.5202, 'grad_norm': 2.0937626361846924, 'learning_rate': 0.00040265454541681383, 'epoch': 0.05}
{'loss': 6.5769, 'grad_norm': 2.436753034591675, 'learning_rate': 0.0004032611241256109, 'epoch': 0.05}
{'loss': 6.5996, 'grad_norm': 2.213024139404297, 'learning_rate': 0.0004038612838916535, 'epoch': 0.06}
{'loss': 6.5647, 'grad_norm': 2.3756396770477295, 'learning_rate': 0.00040445515914678653, 'epoch': 0.06}
{'loss': 6.6074, 'grad_norm': 2.207822322845459, 'learning_rate': 0.0004050428801434744, 'epoch': 0.06}
{'loss': 6.5458, 'grad_norm': 2.2443904876708984, 'learning_rate': 0.0004056245731262706, 'epoch': 0.06}
{'loss': 6.55, 'grad_norm': 2.038140296936035, 'learning_rate': 0.0004062003604945829, 'epoch': 0.06}
{'loss': 6.6996, 'grad_norm': 1.917641282081604, 'learning_rate': 0.0004067703609572583, 'epoch': 0.06}
                                                 
{'eval_loss': 6.558836936950684, 'eval_runtime': 49.6546, 'eval_samples_per_second': 20.139, 'eval_steps_per_second': 5.035, 'epoch': 0.06}
{'loss': 6.5533, 'grad_norm': 2.14737606048584, 'learning_rate': 0.00040733468967947735, 'epoch': 0.06}
{'loss': 6.5376, 'grad_norm': 2.2117362022399902, 'learning_rate': 0.00040789345842241195, 'epoch': 0.06}
{'loss': 6.5687, 'grad_norm': 2.2426700592041016, 'learning_rate': 0.0004084467756760699, 'epoch': 0.06}
{'loss': 6.6097, 'grad_norm': 2.267719030380249, 'learning_rate': 0.0004089947467857219, 'epoch': 0.06}
{'loss': 6.5512, 'grad_norm': 2.196612596511841, 'learning_rate': 0.00040953747407227863, 'epoch': 0.06}
{'loss': 6.579, 'grad_norm': 2.1411454677581787, 'learning_rate': 0.00041007505694696324, 'epoch': 0.06}
{'loss': 6.5889, 'grad_norm': 2.0965957641601562, 'learning_rate': 0.0004106075920205991, 'epoch': 0.06}
{'loss': 6.6216, 'grad_norm': 2.175550937652588, 'learning_rate': 0.0004111351732078148, 'epoch': 0.06}
{'loss': 6.5977, 'grad_norm': 2.5534441471099854, 'learning_rate': 0.00041165789182644636, 'epoch': 0.06}
{'loss': 6.526, 'grad_norm': 1.992456078529358, 'learning_rate': 0.00041217583669240094, 'epoch': 0.06}
{'loss': 6.5687, 'grad_norm': 2.084317207336426, 'learning_rate': 0.00041268909421022734, 'epoch': 0.06}
{'loss': 6.6734, 'grad_norm': 2.289869785308838, 'learning_rate': 0.0004131977484596248, 'epoch': 0.06}
{'loss': 6.5968, 'grad_norm': 2.181704044342041, 'learning_rate': 0.0004137018812781079, 'epoch': 0.07}
{'loss': 6.5717, 'grad_norm': 2.337445020675659, 'learning_rate': 0.000414201572340028, 'epoch': 0.07}
{'loss': 6.5329, 'grad_norm': 2.2601776123046875, 'learning_rate': 0.00041469689923214517, 'epoch': 0.07}
{'loss': 6.5294, 'grad_norm': 2.20275616645813, 'learning_rate': 0.00041518793752592795, 'epoch': 0.07}
{'loss': 6.6212, 'grad_norm': 2.348757028579712, 'learning_rate': 0.0004156747608467502, 'epoch': 0.07}
{'loss': 6.6492, 'grad_norm': 2.4685404300689697, 'learning_rate': 0.00041615744094014264, 'epoch': 0.07}
{'loss': 6.5251, 'grad_norm': 2.411231517791748, 'learning_rate': 0.0004166360477352503, 'epoch': 0.07}
{'loss': 6.5896, 'grad_norm': 2.597687005996704, 'learning_rate': 0.00041711064940563283, 'epoch': 0.07}
{'loss': 6.5048, 'grad_norm': 2.243889331817627, 'learning_rate': 0.0004175813124275436, 'epoch': 0.07}
{'loss': 6.5247, 'grad_norm': 2.230070114135742, 'learning_rate': 0.0004180481016358096, 'epoch': 0.07}
{'loss': 6.5494, 'grad_norm': 2.3461358547210693, 'learning_rate': 0.00041851108027743015, 'epoch': 0.07}
{'loss': 6.499, 'grad_norm': 2.2537682056427, 'learning_rate': 0.00041897031006300637, 'epoch': 0.07}
{'loss': 6.5739, 'grad_norm': 2.402698040008545, 'learning_rate': 0.0004194258512161046, 'epoch': 0.07}
{'loss': 6.4318, 'grad_norm': 2.4836137294769287, 'learning_rate': 0.00041987776252065315, 'epoch': 0.07}
{'loss': 6.5336, 'grad_norm': 2.0781688690185547, 'learning_rate': 0.0004203261013664656, 'epoch': 0.07}
{'loss': 6.6152, 'grad_norm': 2.2712454795837402, 'learning_rate': 0.00042077092379297907, 'epoch': 0.07}
{'loss': 6.5897, 'grad_norm': 2.4029085636138916, 'learning_rate': 0.0004212122845312901, 'epoch': 0.07}
{'loss': 6.5005, 'grad_norm': 2.23412823677063, 'learning_rate': 0.00042165023704456814, 'epoch': 0.08}
{'loss': 6.5846, 'grad_norm': 2.0546603202819824, 'learning_rate': 0.0004220848335669197, 'epoch': 0.08}
{'loss': 6.5831, 'grad_norm': 2.4435222148895264, 'learning_rate': 0.0004225161251407754, 'epoch': 0.08}
{'loss': 6.4706, 'grad_norm': 2.3675761222839355, 'learning_rate': 0.0004229441616528663, 'epoch': 0.08}
{'loss': 6.4799, 'grad_norm': 2.2063629627227783, 'learning_rate': 0.00042336899186885173, 'epoch': 0.08}
{'loss': 6.5943, 'grad_norm': 2.1974613666534424, 'learning_rate': 0.0004237906634666611, 'epoch': 0.08}
{'loss': 6.5502, 'grad_norm': 2.171297073364258, 'learning_rate': 0.00042420922306860443, 'epoch': 0.08}
{'loss': 6.4128, 'grad_norm': 2.4851229190826416, 'learning_rate': 0.0004246247162723072, 'epoch': 0.08}
{'loss': 6.5202, 'grad_norm': 2.3319644927978516, 'learning_rate': 0.0004250371876805196, 'epoch': 0.08}
{'loss': 6.6077, 'grad_norm': 2.2899699211120605, 'learning_rate': 0.00042544668092985065, 'epoch': 0.08}
{'loss': 6.657, 'grad_norm': 2.3687424659729004, 'learning_rate': 0.0004258532387184711, 'epoch': 0.08}
{'loss': 6.5541, 'grad_norm': 2.2618041038513184, 'learning_rate': 0.0004262569028328316, 'epoch': 0.08}
{'loss': 6.5127, 'grad_norm': 2.333120584487915, 'learning_rate': 0.0004266577141734361, 'epoch': 0.08}
{'loss': 6.5733, 'grad_norm': 2.1858091354370117, 'learning_rate': 0.00042705571277971077, 'epoch': 0.08}
{'loss': 6.5856, 'grad_norm': 2.6769137382507324, 'learning_rate': 0.0004274509378540073, 'epoch': 0.08}
{'loss': 6.4585, 'grad_norm': 2.3684909343719482, 'learning_rate': 0.00042784342778477425, 'epoch': 0.08}
{'loss': 6.4966, 'grad_norm': 2.121767997741699, 'learning_rate': 0.00042823322016893336, 'epoch': 0.08}
{'loss': 6.5515, 'grad_norm': 2.3043453693389893, 'learning_rate': 0.00042862035183349143, 'epoch': 0.09}
{'loss': 6.5333, 'grad_norm': 2.2400171756744385, 'learning_rate': 0.0004290048588564198, 'epoch': 0.09}
{'loss': 6.5499, 'grad_norm': 2.1983256340026855, 'learning_rate': 0.00042938677658683073, 'epoch': 0.09}
{'loss': 6.5583, 'grad_norm': 2.359858989715576, 'learning_rate': 0.0004297661396644791, 'epoch': 0.09}
{'loss': 6.5623, 'grad_norm': 2.4972922801971436, 'learning_rate': 0.00043014298203861606, 'epoch': 0.09}
{'loss': 6.4134, 'grad_norm': 2.3141047954559326, 'learning_rate': 0.0004305173369862205, 'epoch': 0.09}
{'loss': 6.4496, 'grad_norm': 2.4510953426361084, 'learning_rate': 0.00043088923712963266, 'epoch': 0.09}
{'loss': 6.5631, 'grad_norm': 1.8758162260055542, 'learning_rate': 0.00043125871445361374, 'epoch': 0.09}
{'loss': 6.4862, 'grad_norm': 2.229494094848633, 'learning_rate': 0.00043162580032185267, 'epoch': 0.09}
{'loss': 6.5561, 'grad_norm': 2.387385368347168, 'learning_rate': 0.00043199052549294266, 'epoch': 0.09}
{'loss': 6.4442, 'grad_norm': 2.1112592220306396, 'learning_rate': 0.00043235292013584734, 'epoch': 0.09}
{'loss': 6.4733, 'grad_norm': 2.6059608459472656, 'learning_rate': 0.0004327130138448755, 'epoch': 0.09}
{'loss': 6.5088, 'grad_norm': 2.5226714611053467, 'learning_rate': 0.00043307083565418406, 'epoch': 0.09}
{'loss': 6.4771, 'grad_norm': 2.3638792037963867, 'learning_rate': 0.0004334264140518253, 'epoch': 0.09}
{'loss': 6.5374, 'grad_norm': 2.1476857662200928, 'learning_rate': 0.00043377977699335797, 'epoch': 0.09}
{'loss': 6.5334, 'grad_norm': 2.4993162155151367, 'learning_rate': 0.00043413095191503553, 'epoch': 0.09}
{'loss': 6.6791, 'grad_norm': 2.097163200378418, 'learning_rate': 0.00043447996574658983, 'epoch': 0.09}
{'loss': 6.5831, 'grad_norm': 2.407212495803833, 'learning_rate': 0.0004348268449236226, 'epoch': 0.1}
{'loss': 6.4771, 'grad_norm': 2.5327630043029785, 'learning_rate': 0.00043517161539962176, 'epoch': 0.1}
{'loss': 6.5733, 'grad_norm': 2.5563933849334717, 'learning_rate': 0.00043551430265761313, 'epoch': 0.1}
{'loss': 6.5057, 'grad_norm': 2.12813401222229, 'learning_rate': 0.00043585493172146344, 'epoch': 0.1}
{'loss': 6.5687, 'grad_norm': 2.3079028129577637, 'learning_rate': 0.0004361935271668456, 'epoch': 0.1}
{'loss': 6.5275, 'grad_norm': 2.22993540763855, 'learning_rate': 0.00043653011313187797, 'epoch': 0.1}
{'loss': 6.651, 'grad_norm': 2.606015682220459, 'learning_rate': 0.0004368647133274507, 'epoch': 0.1}
{'loss': 6.5004, 'grad_norm': 2.4080276489257812, 'learning_rate': 0.00043719735104724873, 'epoch': 0.1}
{'loss': 6.4673, 'grad_norm': 2.669121026992798, 'learning_rate': 0.0004375280491774826, 'epoch': 0.1}
{'loss': 6.5219, 'grad_norm': 2.424220085144043, 'learning_rate': 0.00043785683020633725, 'epoch': 0.1}
{'loss': 6.5087, 'grad_norm': 2.2574594020843506, 'learning_rate': 0.0004381837162331487, 'epoch': 0.1}
{'loss': 6.4805, 'grad_norm': 2.5859732627868652, 'learning_rate': 0.00043850872897731736, 'epoch': 0.1}
{'loss': 6.491, 'grad_norm': 2.400765895843506, 'learning_rate': 0.00043883188978696794, 'epoch': 0.1}
{'loss': 6.5521, 'grad_norm': 2.9738705158233643, 'learning_rate': 0.0004391532196473634, 'epoch': 0.1}
{'loss': 6.4646, 'grad_norm': 2.3616931438446045, 'learning_rate': 0.0004394727391890826, 'epoch': 0.1}
{'loss': 6.4616, 'grad_norm': 2.469367265701294, 'learning_rate': 0.0004397904686959682, 'epoch': 0.1}
{'loss': 6.4663, 'grad_norm': 2.5694143772125244, 'learning_rate': 0.0004401064281128536, 'epoch': 0.1}
{'loss': 6.5255, 'grad_norm': 2.149176836013794, 'learning_rate': 0.0004404206370530757, 'epoch': 0.1}
{'loss': 6.3983, 'grad_norm': 2.8418521881103516, 'learning_rate': 0.00044073311480578094, 'epoch': 0.11}
{'loss': 6.5259, 'grad_norm': 2.2346630096435547, 'learning_rate': 0.0004410438803430303, 'epoch': 0.11}
{'loss': 6.4714, 'grad_norm': 2.09444522857666, 'learning_rate': 0.00044135295232671206, 'epoch': 0.11}
{'loss': 6.4761, 'grad_norm': 2.6328513622283936, 'learning_rate': 0.000441660349115266, 'epoch': 0.11}
{'loss': 6.5049, 'grad_norm': 2.4121809005737305, 'learning_rate': 0.0004419660887702271, 'epoch': 0.11}
{'loss': 6.4427, 'grad_norm': 2.3098933696746826, 'learning_rate': 0.00044227018906259336, 'epoch': 0.11}
{'loss': 6.5854, 'grad_norm': 2.242445945739746, 'learning_rate': 0.0004425726674790242, 'epoch': 0.11}
{'loss': 6.4047, 'grad_norm': 2.251190423965454, 'learning_rate': 0.0004428735412278739, 'epoch': 0.11}
{'loss': 6.4663, 'grad_norm': 2.4041619300842285, 'learning_rate': 0.00044317282724506675, 'epoch': 0.11}
{'loss': 6.5357, 'grad_norm': 2.590121269226074, 'learning_rate': 0.00044347054219981695, 'epoch': 0.11}
{'loss': 6.4379, 'grad_norm': 2.18064546585083, 'learning_rate': 0.0004437667025001998, 'epoch': 0.11}
{'loss': 6.6038, 'grad_norm': 2.2861878871917725, 'learning_rate': 0.00044406132429857794, 'epoch': 0.11}
{'loss': 6.4651, 'grad_norm': 2.2244043350219727, 'learning_rate': 0.0004443544234968877, 'epoch': 0.11}
{'loss': 6.4783, 'grad_norm': 2.2019481658935547, 'learning_rate': 0.0004446460157517889, 'epoch': 0.11}
{'loss': 6.4943, 'grad_norm': 2.6108875274658203, 'learning_rate': 0.0004449361164796839, 'epoch': 0.11}
{'loss': 6.4729, 'grad_norm': 2.346060276031494, 'learning_rate': 0.000445224740861608, 'epoch': 0.11}
{'loss': 6.5443, 'grad_norm': 2.3844785690307617, 'learning_rate': 0.00044551190384799623, 'epoch': 0.11}
{'loss': 6.4682, 'grad_norm': 2.5945897102355957, 'learning_rate': 0.00044579762016333095, 'epoch': 0.12}
{'loss': 6.4678, 'grad_norm': 2.3095672130584717, 'learning_rate': 0.0004460819043106715, 'epoch': 0.12}
{'eval_loss': 6.478440284729004, 'eval_runtime': 49.6434, 'eval_samples_per_second': 20.144, 'eval_steps_per_second': 5.036, 'epoch': 0.12}
{'loss': 6.4269, 'grad_norm': 2.22239351272583, 'learning_rate': 0.0004463647705760725, 'epoch': 0.12}
{'loss': 6.4653, 'grad_norm': 2.1791224479675293, 'learning_rate': 0.0004466462330328906, 'epoch': 0.12}
{'loss': 6.5543, 'grad_norm': 2.2852671146392822, 'learning_rate': 0.00044692630554598705, 'epoch': 0.12}
{'loss': 6.4685, 'grad_norm': 2.3493599891662598, 'learning_rate': 0.0004472050017758252, 'epoch': 0.12}
{'loss': 6.4903, 'grad_norm': 2.359678268432617, 'learning_rate': 0.0004474823351824688, 'epoch': 0.12}
{'loss': 6.4207, 'grad_norm': 2.567164659500122, 'learning_rate': 0.00044775831902948315, 'epoch': 0.12}
{'loss': 6.5414, 'grad_norm': 2.499922037124634, 'learning_rate': 0.0004480329663877404, 'epoch': 0.12}
{'loss': 6.5074, 'grad_norm': 2.327164888381958, 'learning_rate': 0.0004483062901391351, 'epoch': 0.12}
{'loss': 6.5032, 'grad_norm': 2.4224464893341064, 'learning_rate': 0.00044857830298020943, 'epoch': 0.12}
{'loss': 6.455, 'grad_norm': 2.359480619430542, 'learning_rate': 0.00044884901742569183, 'epoch': 0.12}
{'loss': 6.4972, 'grad_norm': 2.356642484664917, 'learning_rate': 0.00044911844581195265, 'epoch': 0.12}
{'loss': 6.429, 'grad_norm': 2.6092751026153564, 'learning_rate': 0.00044938660030037654, 'epoch': 0.12}
{'loss': 6.4781, 'grad_norm': 3.060861349105835, 'learning_rate': 0.0004496534928806568, 'epoch': 0.12}
{'loss': 6.4585, 'grad_norm': 2.562927007675171, 'learning_rate': 0.0004499191353740124, 'epoch': 0.12}
{'loss': 6.4237, 'grad_norm': 2.563821315765381, 'learning_rate': 0.0004501835394363289, 'epoch': 0.12}
{'loss': 6.3995, 'grad_norm': 2.731821060180664, 'learning_rate': 0.00045044671656122807, 'epoch': 0.13}
{'loss': 6.4611, 'grad_norm': 2.1768341064453125, 'learning_rate': 0.00045070867808306547, 'epoch': 0.13}
{'loss': 6.4554, 'grad_norm': 2.5904150009155273, 'learning_rate': 0.00045096943517985966, 'epoch': 0.13}
{'loss': 6.4102, 'grad_norm': 2.559771776199341, 'learning_rate': 0.0004512289988761542, 'epoch': 0.13}
{'loss': 6.4486, 'grad_norm': 2.581547737121582, 'learning_rate': 0.00045148738004581425, 'epoch': 0.13}
{'loss': 6.5108, 'grad_norm': 2.421928644180298, 'learning_rate': 0.00045174458941476056, 'epoch': 0.13}
{'loss': 6.5393, 'grad_norm': 2.265899896621704, 'learning_rate': 0.0004520006375636406, 'epoch': 0.13}
{'loss': 6.5276, 'grad_norm': 2.5244181156158447, 'learning_rate': 0.0004522555349304404, 'epoch': 0.13}
{'loss': 6.5911, 'grad_norm': 2.354775905609131, 'learning_rate': 0.00045250929181303806, 'epoch': 0.13}
{'loss': 6.4447, 'grad_norm': 2.4744293689727783, 'learning_rate': 0.0004527619183716999, 'epoch': 0.13}
{'loss': 6.4663, 'grad_norm': 2.1143240928649902, 'learning_rate': 0.00045301342463152113, 'epoch': 0.13}
{'loss': 6.4472, 'grad_norm': 2.6278326511383057, 'learning_rate': 0.00045326382048481396, 'epoch': 0.13}
{'loss': 6.4828, 'grad_norm': 2.3414416313171387, 'learning_rate': 0.0004535131156934412, 'epoch': 0.13}
{'loss': 6.5356, 'grad_norm': 2.7149829864501953, 'learning_rate': 0.00045376131989110065, 'epoch': 0.13}
{'loss': 6.3586, 'grad_norm': 2.2376439571380615, 'learning_rate': 0.0004540084425855584, 'epoch': 0.13}
{'loss': 6.498, 'grad_norm': 2.3211071491241455, 'learning_rate': 0.00045425449316083456, 'epoch': 0.13}
